time,identical,diff,v4_longer,v4_shorter
2008-03-01,0,0,0,0
2008-04-01,0,0,0,0
2008-05-01,1,0,0,0
2008-06-01,0,0,0,0
2008-07-01,1,0,0,2
2008-08-01,0,0,0,0
2008-09-01,0,0,0,0
2008-10-01,0,0,0,0
2008-11-01,0,0,0,0
2008-12-01,0,0,0,0
2009-01-01,0,0,0,0
2009-02-01,0,0,0,0
2009-03-01,3,0,0,2
2009-04-01,0,0,0,0
2009-05-01,0,0,0,0
2009-06-01,0,0,0,0
2009-07-01,14,11,0,4
2009-08-01,9,13,0,7
2009-09-01,16,9,1,4
2009-10-01,9,10,1,8
2009-11-01,9,16,1,3
2009-12-01,9,11,6,4
2010-01-01,7,8,1,3
2010-02-01,7,14,2,5
2010-03-01,11,14,1,3
2010-04-01,9,15,1,3
2010-05-01,8,12,8,3
2010-06-01,15,10,4,3
2010-07-01,17,10,2,3
2010-08-01,17,7,2,4
2010-09-01,17,10,1,3
2010-10-01,18,11,1,3
2010-11-01,13,13,1,7
2010-12-01,5,1,0,1
2011-01-01,6,2,2,2
2011-02-01,22,8,4,6
2011-03-01,18,8,6,4
2011-04-01,17,14,7,6
2011-05-01,21,14,6,5
2011-06-01,25,10,7,5
2011-07-01,22,14,4,7
2011-08-01,21,10,6,5
2011-09-01,15,18,6,4
2011-10-01,21,18,5,4
2011-11-01,21,15,6,5
2011-12-01,21,15,5,5
2012-01-01,11,13,3,4
2012-02-01,21,14,6,6
2012-03-01,21,14,6,6
2012-04-01,25,11,4,10
2012-05-01,21,14,5,10
2012-06-01,23,10,4,10
2012-07-01,21,11,4,9
2012-08-01,25,12,3,12
2012-09-01,26,11,2,14
2012-10-01,27,15,1,9
2012-11-01,36,13,1,11
2012-12-01,32,6,1,10
2013-01-01,36,12,4,13
2013-02-01,40,13,3,11
2013-03-01,33,12,2,7
2013-04-01,29,10,1,8
2013-05-01,35,16,3,10
2013-06-01,32,12,2,8
2013-07-01,37,20,2,9
2013-08-01,44,15,2,9
2013-09-01,41,17,2,10
2013-10-01,40,14,3,6
2013-11-01,42,17,3,7
2013-12-01,42,17,3,5
2014-01-01,39,19,3,2
2014-02-01,33,27,3,6
2014-03-01,36,24,3,6
2014-04-01,36,23,2,6
2014-05-01,36,22,1,8
2014-06-01,40,19,1,4
2014-07-01,35,22,1,4
2014-08-01,37,19,2,6
2014-09-01,32,21,0,5
2014-10-01,34,17,2,6
2014-11-01,39,18,3,6
2014-12-01,37,18,3,6
2015-01-01,38,18,0,6
2015-02-01,41,18,1,5
2015-03-01,39,18,3,5
2015-04-01,41,19,0,6
2015-05-01,37,21,1,5
2015-06-01,36,23,0,5
2015-07-01,42,15,1,5
2015-08-01,39,21,0,7
2015-09-01,45,19,1,7
2015-10-01,46,18,2,8
2015-11-01,44,19,2,6
2015-12-01,56,28,2,6
2016-01-01,57,27,1,9
2016-02-01,61,23,2,10
2016-03-01,57,25,6,8
2016-04-01,57,27,4,11
2016-05-01,57,24,3,14
2016-06-01,59,33,2,12
